Subsite,ICD-O-3,Site,Group,Macrogrouping
"C34.0 Main bronchus, C34.1 Upper lobe, lung, C34.2 Middle lobe, lung, C34.3 Lower lobe, lung, C34.8 Overlapping lesion of lung, C34.9 Lung, NOS",C34.1-34.9,Lung,Thorax,Soft tissue
Bronchus,C34.0,Bronchus,Thorax,Soft tissue
"C15.0 Cervical esophagus, C15.1 Thoracic esophagus, C15.2 Abdominal esophagus, C15.3 Upper third of esophagus, C15.4 Middle third of esophagus, C15.5 Lower third of esophagus, C15.8 Overlapping lesion of esophagus, C15.9 Esophagus, NOS",C15.0-C15.9,Esophagus,Thorax,Soft tissue
,,,,
Trachea,C33.9,Trachea,Thorax,Soft tissue
Thymus,C37.9,Thymus,Thorax,Soft tissue
"C16.0 Cardia, NOS, C16.1 Fundus of stomach, C16.2 Body of stomach, C16.3 Gastric antrum, C16.4 Pylorus, C16.5 Lesser curvature of stomach, NOS, C16.6 Greater curvature of stomach, NOS, C16.8 Overlapping lesion of stomach, C16.9 Stomach, NOS",C16.0-C16.9,Stomach,Abdomen,Soft tissue
,,,,
Duodenum,C17.0,Duodenum,Abdomen,Soft tissue
"C17.1 Jejunum, C17.2 Ileum",C17.1-C17.2,Small intestine,Abdomen,Soft tissue
Meckel diverticulum,C17.3,Small intestine,Abdomen,Soft tissue
Overlapping lesion of small,C17.8,Small intestine,Abdomen,Soft tissue
intestine,,,,
"Small intestine, NOS",C17.9,Small intestine,Abdomen,Soft tissue
"C18.0 Cecum, C18.1 Appendix, C18.2 Ascending colon, C18.3 Hepatic flexure of colon, C18.4 Transverse colon, C18.5 Splenic flexure of colon, C18.6 Descending colon, C18.7 Sigmoid colon, C18.8 Overlapping lesion of colon, C18.9 Colon, NOS",C18.0-C18.9,Colon,Abdomen,Soft tissue
Rectosigmoid junction,C19.9,Rectosigmoid junction,Abdomen,Soft tissue
Rectum ,C20.9,Rectum ,Abdomen,Soft tissue
