N seq,Group,Label,Behaviour,WHO 5th/ICD-O-3.2 Code,WHO 5th/ICD-O-3.2 Label,Si/No,behaviour
70,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,/0,8840/0,Myxoma NOS,Si,Benign
71,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,/0,8840/0,Intramuscular/juxta-articular myxoma†,Si,Benign
72,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,,,Cellular myxoma,Si,Benign
73,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,/3,8840/3,Low-grade fibromyxoid sarcoma,Si,Benign
74,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,Low-grade fibromyxoid sarcoma/sclerosing epithelioid fibrosarcoma (8840) ,/3,8840/3,Sclerosing epithelioid fibrosarcoma,Si,Malignant
75,"Ossifying fibromyxoid tumour, malignant (8842)","Ossifying fibromyxoid tumour, malignant (8842)",/0,8842/0,Ossifying fibromyxoid tumour NOS,Si,Borderline
76,"Ossifying fibromyxoid tumour, malignant (8842)","Ossifying fibromyxoid tumour, malignant (8842)",/3,8842/3,"Ossifying fibromyxoid tumour, malignant",Si,Malignant
77,"Ossifying fibromyxoid tumour, malignant (8842)","Ossifying fibromyxoid tumour, malignant (8842)",/3,8842/3,Pulmonary myxoid sarcoma with EWSR1-CREB1 fusion,Si,Malignant
78,"Liposarcoma, NOS/atypical lipomatous tumour (8850)","Liposarcoma, NOS/atypical lipomatous tumour (8850)",/0,8850/0,Lipoma NOS,Si,Benign
79,"Liposarcoma, NOS/atypical lipomatous tumour (8850)","Liposarcoma, NOS/atypical lipomatous tumour (8850)",/0,8850/0,Thymolipoma,Si,Benign
80,"Liposarcoma, NOS/atypical lipomatous tumour (8850)","Liposarcoma, NOS/atypical lipomatous tumour (8850)",/1,8850/1,Atypical lipomatous tumour,Si,Borderline
81,"Liposarcoma, NOS/atypical lipomatous tumour (8850)","Liposarcoma, NOS/atypical lipomatous tumour (8850)",/3,8850/3,"Liposarcoma, NOS",Si,Malignant
82,"Liposarcoma, NOS/atypical lipomatous tumour (8850)","Liposarcoma, NOS/atypical lipomatous tumour (8850)",,,Pseudoangiomatous stromal hyperplasia,No,
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/0,8851/0,Fibrolipoma,,
,"Well-differentiated/dedifferentiated liposarcoma (8851, 8855, 8857-8858)","Liposarcoma, well differentiated (8851)",/1,8851/1,Lipofibromatosis,,
